
******************************************************************
ForwardingUnit      :        ForwardA      | 00
Stage ID: IF|ID OUT :       Instruction    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 1    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 2    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Sign Extend    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :            RS        | xxxxx
Stage ID:           :            RT        | xxxxx
Stage ID:           :            RD        | xxxxx
Stage ID:           :    C_Signal RegDst   | x
Stage ID:           :    C_Signal ALUSrc   | x
Stage ID:           :    C_Signal MemtoReg | x
Stage ID:           :    C_Signal RegWrite | x
Stage ID:           :    C_Signal MemRead  | x
Stage ID:           :    C_Signal MemWrite | x
Stage ID:           :    C_Signal Branch   | x
Stage ID:           :    C_Signal ALUOp    | xx

Stage EX:           :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData1      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData2      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       SignExtend     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :           RS         | xxxxx
Stage EX:           :           RT         | xxxxx
Stage EX:           :           RD         | xxxxx
Stage EX:           :           SLL        | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00
Stage EX:           :       Branch ALU     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       MUX ALU Src    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :     MUX Forward i0   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :     MUX Forward i1   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       Main ALU       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :          Zero        | x
Stage EX:           :  ALU Control Output  | xxxx
Stage EX:           :       MUX RegDst     | xxxxx
Stage EX:           :   C_Signal RegDst    | x
Stage EX:           :   C_Signal ALUSrc    | x
Stage EX:           :   C_Signal MemtoReg  | x
Stage EX:           :   C_Signal RegWrite  | x
Stage EX:           :   C_Signal MemRead   | x
Stage EX:           :   C_Signal MemWrite  | x
Stage EX:           :   C_Signal Branch    | x
Stage EX:           :   C_Signal ALUOp     | xx

Stage MEM:           :   C_Signal MemtoReg  | 1
Stage MEM:           :   C_Signal RegWrite  | 1
Stage MEM:           :   C_Signal MemRead   | 1
Stage MEM:           :   C_Signal MemWrite  | 0
Stage MEM:           :   C_Signal Branch    | 0
Stage MEM:           :   BranchALUOutput    | 00000000000000000000000000100100
Stage MEM:           :   Zero               | 0
Stage MEM:           :   MainALUOutput      | 00000000000000000000000000000100
Stage MEM:           :   ReadData2          | 00000000000000000000000000000000
Stage MEM:           :   RegDstOutput       | 01101
Stage MEM:           :   Data Memory Output | 00000000000000000000000010000100
Stage MEM:           :   Branch Gate Output | 0

Stage WB:           :   C_Signal MemtoReg   | x
Stage WB:           :   C_Signal RegWrite   | x
Stage WB:           :   Data Memory Output  | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage WB:           :     Main ALU Result   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage WB:           :     Reg Dst Output    | xxxxx
Stage WB:           :   Mem to Reg Output   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx


******************************************************************
ForwardingUnit      :        ForwardA      | 00
ForwardingUnit      :        ForwardB      | 00

Clock               :          Clock       | 0
Stage IF:           :           PC         | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage IF:           :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage IF:           :       Instruction    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

Stage ID: IF|ID OUT :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID: IF|ID OUT :       Instruction    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 1    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 2    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Sign Extend    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :            RS        | xxxxx
Stage ID:           :            RT        | xxxxx
Stage ID:           :            RD        | xxxxx
Stage ID:           :    C_Signal RegDst   | x
Stage ID:           :    C_Signal ALUSrc   | x
Stage ID:           :    C_Signal MemtoReg | x
Stage ID:           :    C_Signal RegWrite | x
Stage ID:           :    C_Signal MemRead  | x
Stage ID:           :    C_Signal MemWrite | x
Stage ID:           :    C_Signal Branch   | x
Stage ID:           :    C_Signal ALUOp    | xx

Stage EX:           :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData1      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData2      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       SignExtend     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :           RS         | xxxxx
Stage EX:           :           RT         | xxxxx
Stage EX:           :           RD         | xxxxx
Stage EX:           :           SLL        | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00
Stage EX:           :       Branch ALU     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       MUX ALU Src    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :     MUX Forward i0   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :     MUX Forward i1   | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       Main ALU       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :          Zero        | x
Stage EX:           :  ALU Control Output  | xxxx
Stage EX:           :       MUX RegDst     | xxxxx
Stage EX:           :   C_Signal RegDst    | x
Stage EX:           :   C_Signal ALUSrc    | x
Stage EX:           :   C_Signal MemtoReg  | x
Stage EX:           :   C_Signal RegWrite  | x
Stage EX:           :   C_Signal MemRead   | x
Stage EX:           :   C_Signal MemWrite  | x
Stage EX:           :   C_Signal Branch    | x
Stage EX:           :   C_Signal ALUOp     | xx

Stage MEM:           :   C_Signal MemtoReg  | x
Stage MEM:           :   C_Signal RegWrite  | x
Stage MEM:           :   C_Signal MemRead   | x
Stage MEM:           :   C_Signal MemWrite  | x
Stage MEM:           :   C_Signal Branch    | x
Stage MEM:           :   BranchALUOutput    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage MEM:           :   Zero               | x
Stage MEM:           :   MainALUOutput      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage MEM:           :   ReadData2          | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage MEM:           :   RegDstOutput       | xxxxx
Stage MEM:           :   Data Memory Output | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage MEM:           :   Branch Gate Output | x

Stage WB:           :   C_Signal MemtoReg   | 1
Stage WB:           :   C_Signal RegWrite   | 1
Stage WB:           :   Data Memory Output  | 00000000000000000000000010000100
Stage WB:           :     Main ALU Result   | 00000000000000000000000000000100
Stage WB:           :     Reg Dst Output    | 01101
Stage WB:           :   Mem to Reg Output   | 00000000000000000000000010000100

